time_less_than,mem_less_than,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nScenarios,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables
no,100,97.9358620689655,11.444827586206902,356.94,8.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,10649.235654354095,44.87671637535095,77611,5938
no,100,97.9358620689655,11.444827586206902,367.12,8.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,10649.235654354095,45.71340346336365,77611,5938
no,100,97.9358620689655,11.444827586206902,376.3,8.000000000000004,272.58020833333336,280.9469636410461,321.73125,165.86233832138478,10649.235654354095,44.951359272003174,77611,5938
no,100,97.9358620689655,11.444827586206902,363.22,8.0,273.778125,281.3682189332176,323.6166666666666,169.0708718917077,10649.235654354095,41.571679353713996,77611,5938
no,100,97.9358620689655,11.444827586206902,354.68,8.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545098,10649.235654354095,39.90961647033691,77611,5938
no,100,97.9358620689655,11.444827586206902,350.91,8.0,264.81458333333336,272.93997736802817,312.5572916666667,161.1360758701527,10649.235654354095,44.053142786026,77611,5938
no,100,97.9358620689655,11.444827586206902,360.14,8.0,265.96875,273.34187968568625,314.38958333333335,164.25286367313782,10649.235654354095,47.475274324417114,77611,5938
no,100,97.9358620689655,11.444827586206902,367.12,8.0,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,10649.235654354095,46.75956010818482,77611,5938
no,100,97.9358620689655,11.444827586206902,363.22,8.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,10649.235654354095,38.99487495422363,77611,5938
no,100,97.9358620689655,11.444827586206898,373.56,8.0,274.57708333333335,282.19602874862187,324.5729166666667,169.57505742244757,10649.235654354095,40.14683604240417,77611,5938
no,100,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.3760224564673,10649.235654354095,28.889005422592163,77611,5938
