InstanceID,improvement,y_sol(keuro)_baseline,y_memAvg(MB)_baseline,y_time(sec)_baseline,y_sol(keuro),y_memAvg(MB),y_time(sec),alg,conf
14.0,0.17,410.88,60.25,1.48,304.6833333333332,84.1716666666667,13.078076923076908,C,13.0
14.0,0.2,410.88,60.25,1.48,304.6833333333332,84.17166666666672,13.078076923076908,C,13.0
14.0,0.22,410.88,60.25,1.48,304.6833333333332,84.1716666666667,13.078076923076924,C,13.0
14.0,0.25,410.88,60.25,1.48,295.16,85.12773333333334,19.0632,C,23.0
15.0,0.02,421.31,60.3,1.59,379.75,60.117500000000035,1.9087499999999409,A,1.0
15.0,0.05,421.31,60.3,1.59,379.75,60.117500000000035,1.9087499999999409,A,1.0
15.0,0.07,421.31,60.3,1.59,379.75,60.117500000000035,1.9087499999999409,A,1.0
15.0,0.1,421.31,60.3,1.59,367.89,65.97842105263146,3.0894736842104753,A,2.0
15.0,0.12,421.31,60.3,1.59,367.89,65.97842105263146,3.0894736842104753,A,2.0
16.0,0.02,415.86,59.91,1.42,375.85,60.11749999999995,1.9087499999999409,A,1.0
16.0,0.05,415.86,59.91,1.42,375.85,60.117500000000035,1.9087499999999409,A,1.0
16.0,0.07,415.86,59.91,1.42,375.85,60.117500000000035,1.9087499999999409,A,1.0
16.0,0.1,415.86,59.91,1.42,367.13000000000017,65.9784210526316,3.0894736842104753,A,2.0
16.0,0.12,415.86,59.91,1.42,364.07,78.08094594594596,5.554054054054055,A,4.0
16.0,0.15,415.86,59.91,1.42,340.2,83.27843373493981,8.205421686746991,C,5.0
16.0,0.17,415.86,59.91,1.42,337.9300000000002,83.38345679012347,8.837037037037021,C,6.0
16.0,0.2,415.86,59.91,1.42,323.725,83.95182926829261,11.849756097560974,C,11.0
16.0,0.22,415.86,59.91,1.42,316.3,84.37950617283957,14.257037037037025,C,15.0
16.0,0.25,415.86,59.91,1.42,303.57,88.3555681818182,59.4706818181818,C,90.0
17.0,0.02,425.95,60.31,1.42,376.59000000000015,60.11749999999995,1.9087499999999409,A,1.0
17.0,0.05,425.95,60.31,1.42,376.59,60.11749999999995,1.9087499999999409,A,1.0
17.0,0.07,425.95,60.31,1.42,376.59000000000015,60.11749999999995,1.9087499999999409,A,1.0
17.0,0.1,425.95,60.31,1.42,376.59,60.11749999999995,1.9087499999999409,A,1.0
17.0,0.12,425.95,60.31,1.42,371.03,65.97842105263146,3.0894736842104753,A,2.0
17.0,0.15,425.95,60.31,1.42,361.25,114.78134328358207,18.29850746268653,A,12.0
18.0,0.02,409.3,60.2,1.69,367.3,60.117500000000035,1.9087499999999409,A,1.0
18.0,0.05,409.3,60.2,1.69,367.3,60.117500000000035,1.9087499999999409,A,1.0
18.0,0.07,409.3,60.2,1.69,367.3,60.11749999999995,1.9087499999999409,A,1.0
18.0,0.1,409.3,60.2,1.69,367.3,60.11749999999995,1.9087499999999409,A,1.0
18.0,0.12,409.3,60.2,1.69,358.59,65.9784210526316,3.0894736842104753,A,2.0
18.0,0.15,409.3,60.2,1.69,336.0,83.71837499999997,10.650249999999987,C,9.0
18.0,0.17,409.3,60.2,1.69,333.6085714285716,84.60162790697677,15.475232558139535,C,17.0
18.0,0.2,409.3,60.2,1.69,306.46,88.3555681818182,59.4706818181818,C,90.0
18.0,0.22,409.3,60.2,1.69,306.46,88.3555681818182,59.4706818181818,C,90.0
19.0,0.02,403.98,60.3,1.56,363.53,60.117500000000035,1.9087499999999409,A,1.0
19.0,0.05,403.98,60.3,1.56,363.53,60.117500000000035,1.9087499999999409,A,1.0
19.0,0.07,403.98,60.3,1.56,363.53,60.11749999999995,1.9087499999999409,A,1.0
19.0,0.1,403.98,60.3,1.56,354.82,65.97842105263146,3.0894736842104753,A,2.0
19.0,0.12,403.98,60.3,1.56,353.81,72.07368421052627,4.32105263157888,A,3.0
19.0,0.15,403.98,60.3,1.56,313.77,84.1716666666667,13.078076923076908,C,13.0
19.0,0.17,403.98,60.3,1.56,313.77,84.1716666666667,13.078076923076924,C,13.0
19.0,0.2,403.98,60.3,1.56,313.77,84.1716666666667,13.078076923076908,C,13.0
20.0,0.02,413.81,60.21,1.25,368.07,60.117500000000035,1.9087499999999409,A,1.0
20.0,0.05,413.81,60.21,1.25,368.07,60.117500000000035,1.9087499999999409,A,1.0
20.0,0.07,413.81,60.21,1.25,368.07,60.11749999999995,1.9087499999999409,A,1.0
20.0,0.1,413.81,60.21,1.25,368.07,60.117500000000035,1.9087499999999409,A,1.0
20.0,0.12,413.81,60.21,1.25,361.63,78.08094594594596,5.554054054054055,A,4.0
20.0,0.15,413.81,60.21,1.25,306.21352941176474,84.1716666666667,13.078076923076924,C,13.0
20.0,0.17,413.81,60.21,1.25,306.21352941176457,84.17166666666672,13.078076923076908,C,13.0
20.0,0.2,413.81,60.21,1.25,306.21352941176474,84.1716666666667,13.078076923076924,C,13.0
20.0,0.22,413.81,60.21,1.25,306.21352941176474,84.1716666666667,13.078076923076908,C,13.0
20.0,0.25,413.81,60.21,1.25,300.25,88.3555681818182,59.4706818181818,C,90.0
21.0,0.02,422.55,60.31,1.41,379.75,60.11749999999995,1.9087499999999409,A,1.0
