time_less_than,mem_less_than,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nTraces,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables
30,83,82.84299999999999,5.748874999999992,382.77560975609765,1,266.50625,273.89533615830493,315.028125,164.5875588295919,20.818885087966922,0.2443673610687256,6597,753
30,87,84.60162790697674,15.475232558139535,321.4871199999999,16.999999999999993,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,20.818885087966922,0.3274822235107422,6597,753
30,87,84.71682926829268,16.681951219512197,293.7309677419355,19.0,262.66770833333334,270.722787757911,310.02500029479165,159.83073876147768,20.818885087966922,0.2739732265472412,6597,753
30,87,86.17620253164557,23.265063291139235,310.11181818181814,30.0,263.81875,271.12750010853597,311.83958333333334,162.92226832601204,20.818885087966922,0.27539730072021484,6597,753
30,87,84.17166666666667,13.078076923076924,364.87536290322583,12.999999999999998,273.4322916666667,282.4094580181082,320.453125,171.67819396155423,20.818885087966922,0.2843475341796875,6597,753
30,87,85.33525,20.2715,323.39363636363635,25.0,270.70520833333336,279.0127044485727,319.5135416666667,164.72705683682707,20.818885087966922,0.2693960666656494,6597,753
30,87,85.12773333333334,19.063200000000005,310.74722222222215,23.0,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,20.818885087966922,0.2594318389892578,6597,753
30,87,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,20.818885087966922,0.143571138381958,6597,753
30,87,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,20.818885087966922,0.15070462226867676,6597,753
30,87,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,20.818885087966922,0.16060280799865725,6597,753
30,87,86.35628205128204,24.034102564102568,364.87536290322583,31.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,20.818885087966922,0.2366673946380615,6597,753
30,87,84.60162790697674,15.475232558139535,316.2832352941176,16.999999999999993,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,20.818885087966922,0.3143439292907715,6597,753
30,87,85.23368421052632,19.670263157894734,308.6312499999999,24.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,20.818885087966922,0.2670333385467529,6597,753
30,87,84.60162790697674,15.475232558139535,321.4871199999999,16.999999999999993,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,20.818885087966922,0.2885591983795166,6597,753
30,87,84.71682926829268,16.681951219512197,293.7309677419355,19.0,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,20.818885087966922,0.2601816654205322,6597,753
30,87,86.17620253164557,23.265063291139235,310.11181818181814,30.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,20.818885087966922,0.3342101573944092,6597,753
30,87,83.50958904109591,9.451095890410958,402.2245,7.000000000000001,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,20.818885087966922,0.2513301372528076,6597,753
30,87,84.60162790697674,15.475232558139535,338.61333333333334,16.999999999999993,272.58020833333336,280.9469636410461,321.73125,165.86233832138478,20.818885087966922,0.2908942699432373,6597,753
30,87,84.17166666666667,13.078076923076924,332.74013513513523,12.999999999999998,273.778125,281.3682189332176,323.6166666666666,169.0708718917077,20.818885087966922,0.2219982147216797,6597,753
30,87,84.60162790697674,15.475232558139528,334.0568421052632,17.000000000000018,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545098,20.818885087966922,0.2977416515350342,6597,753
30,87,84.71682926829268,16.681951219512204,310.11181818181814,19.0,264.81458333333336,272.93997736802817,312.5572916666667,161.1360758701527,20.818885087966922,0.2754018306732178,6597,753
30,87,85.23368421052632,19.670263157894734,321.48711999999983,24.0,265.96875,273.34187968568625,314.38958333333335,164.25286367313782,20.818885087966922,0.26610898971557617,6597,753
