time_less_than,mem_less_than,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nTraces,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables
no,87,83.95182926829268,11.849756097560975,321.4871199999999,11.000000000000002,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,21.4306833744,0.2793445587158203,6596,753
no,87,83.95182926829268,11.849756097560975,321.4871199999999,11.000000000000002,266.50625,273.89533615830493,315.028125,164.5875588295919,21.4306833744,0.2527010440826416,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,21.4306833744,0.15558385848999026,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,262.66770833333334,270.722787757911,310.02500029479165,159.83073876147768,21.4306833744,0.16334843635559082,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,263.81875,271.12750010853597,311.83958333333334,162.92226832601204,21.4306833744,0.1654047966003418,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,273.4322916666667,282.4094580181082,320.453125,171.67819396155423,21.4306833744,0.1543722152709961,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,270.70520833333336,279.0127044485727,319.5135416666667,164.72705683682707,21.4306833744,0.1703050136566162,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,21.4306833744,0.17285847663879395,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,21.4306833744,0.1351783275604248,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,21.4306833744,0.13121318817138672,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,21.4306833744,0.13657283782958984,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,21.4306833744,0.15550899505615234,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,21.4306833744,0.1670238971710205,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,21.4306833744,0.16101408004760742,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,21.4306833744,0.16953015327453613,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,21.4306833744,0.17558526992797852,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,21.4306833744,0.18362879753112796,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,21.4306833744,0.16423535346984866,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,272.58020833333336,280.9469636410461,321.73125,165.86233832138478,21.4306833744,0.16903305053710938,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,273.778125,281.3682189332176,323.6166666666666,169.0708718917077,21.4306833744,0.16144752502441406,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545098,21.4306833744,0.1799142360687256,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,264.81458333333336,272.93997736802817,312.5572916666667,161.1360758701527,21.4306833744,0.18129825592041016,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,265.96875,273.34187968568625,314.38958333333335,164.25286367313782,21.4306833744,0.17823529243469238,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,21.4306833744,0.1610240936279297,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,21.4306833744,0.1753544807434082,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,274.57708333333335,282.19602874862187,324.5729166666667,169.57505742244757,21.4306833744,0.16487669944763186,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.3760224564673,21.4306833744,0.13863253593444824,6596,753
5,no,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,21.4306833744,0.1356205940246582,6596,753
