instance,improvement,sol(keuro),cplex_time,status,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nTraces,y_memAvg(MB) %,y_time(sec) %,,PV_mean,PV_std,Load_mean,Load_std,baseline_memAvg(MB)no,baseline_time(sec)no,,baseline_memAvg(MB),baseline_time(sec)
7,0.07,379.39,3.7120,integer optimal solution,1532.98,120.01,371.73,12,0.0328,0.0108,,,,,,,,,50.23,1.3
7,0.10,367.16,3.9474,integer optimal solution,3897.04,830.83,365.33,37,0.0129,0.0016,,,,,,,,,50.23,1.3
7,0.12,359.00,3.8522,integer optimal solution,4933.31,1181.61,353.02,45,0.0102,0.0011,,,,,,,,,50.23,1.3
7,0.15,346.76,3.7714,No solution,,,,,,,,,,,,,,,50.23,1.3
8,0.02,392.56,3.6738,integer optimal solution,3958.81,601.21,346.38,31,0.0127,0.0022,,272.10625,280.0481416,324.8802083,174.7935214,50.31,1.31,,50.31,1.31
8,0.05,380.54,3.7076,integer optimal solution,3958.81,601.21,346.38,31,0.0127,0.0022,,,,,,,,,50.31,1.31
8,0.07,372.53,3.7258,integer optimal solution,3958.81,601.21,346.38,31,0.0127,0.0022,,,,,,,,,50.31,1.31
8,0.10,360.51,3.7606,integer optimal solution,3958.81,601.21,346.38,31,0.0127,0.0022,,,,,,,,,50.31,1.31
8,0.12,352.50,3.7793,integer optimal solution,3958.81,601.21,346.38,31,0.0127,0.0022,,,,,,,,,50.31,1.31
8,0.15,340.48,3.6970,No solution,,,,,,,,,,,,,,,50.31,1.31
9,0.02,409.27,3.7613,integer optimal solution,88.92,9.51,339.49,1,0.5666,0.1367,,271.984375,279.578223,328.9604167,176.0148689,50.38,1.3,,50.38,1.3
9,0.05,396.74,3.7897,integer optimal solution,88.92,9.51,339.49,1,0.5666,0.1367,,,,,,,,,50.38,1.3
9,0.07,388.39,3.7713,integer optimal solution,88.92,9.51,339.49,1,0.5666,0.1367,,,,,,,,,50.38,1.3
9,0.10,375.86,3.7392,integer optimal solution,88.92,9.51,339.49,1,0.5666,0.1367,,,,,,,,,50.38,1.3
9,0.12,367.51,3.8548,integer optimal solution,88.92,9.51,339.49,1,0.5666,0.1367,,,,,,,,,50.38,1.3
9,0.15,354.98,3.8708,integer optimal solution,88.92,9.51,339.49,1,0.5666,0.1367,,,,,,,,,50.38,1.3
9,0.17,346.62,3.8487,integer optimal solution,88.92,9.51,339.49,1,0.5666,0.1367,,,,,,,,,50.38,1.3
9,0.20,334.10,3.8253,integer optimal solution,396.82,18.39,296.89,3,0.1270,0.0707,,,,,,,,,50.38,1.3
9,0.22,325.74,3.9545,integer optimal solution,396.82,18.39,296.89,3,0.1270,0.0707,,,,,,,,,50.38,1.3
9,0.25,313.22,3.8104,integer optimal solution,396.82,18.39,296.89,3,0.1270,0.0707,,,,,,,,,50.38,1.3
9,0.27,304.86,3.8132,integer optimal solution,396.82,18.39,296.89,3,0.1270,0.0707,,,,,,,,,50.38,1.3
9,0.30,292.33,3.8379,integer optimal solution,1100.16,76.83,289.44,9,0.0458,0.0169,,,,,,,,,50.38,1.3
9,0.32,283.98,3.8045,integer optimal solution,1622.77,136.32,283.67,13,0.0310,0.0095,,,,,,,,,50.38,1.3
9,0.35,271.45,3.7961,No solution,,,,,,,,,,,,,,,50.38,1.3
10,0.02,401.81,3.7807,integer optimal solution,4306.25,709.34,387.27,34,0.0117,0.0018,,274.3885417,281.1161144,329.4833333,176.0620657,50.39,1.31,,50.39,1.31
10,0.05,389.51,3.7556,integer optimal solution,4306.25,709.34,387.27,34,0.0117,0.0018,,,,,,,,,50.39,1.31
10,0.07,381.31,3.7310,integer optimal solution,3897.04,830.83,362.94,37,0.0129,0.0016,,,,,,,,,50.39,1.31
10,0.10,369.01,3.8368,integer optimal solution,3897.04,830.83,362.94,37,0.0129,0.0016,,,,,,,,,50.39,1.31
10,0.12,360.81,4.1388,integer optimal solution,4043.35,871.42,337.78,38,0.0125,0.0015,,,,,,,,,50.39,1.31
10,0.15,348.51,3.8432,integer optimal solution,4043.35,871.42,337.78,38,0.0125,0.0015,,,,,,,,,50.39,1.31
10,0.17,340.31,3.7781,integer optimal solution,4043.35,871.42,337.78,38,0.0125,0.0015,,,,,,,,,50.39,1.31
10,0.20,328.01,3.7348,No solution,,,,,,,,,,,,,,,50.39,1.31
11,0.02,391.44,3.6600,integer optimal solution,975.19,52.82,387.65,7,0.0518,0.0250,,276.028125,284.0399307,328.421875,172.2098219,50.5,1.32,,50.5,1.32
11,0.05,379.46,3.6684,integer optimal solution,1532.98,120.01,371.54,12,0.0329,0.0110,,,,,,,,,50.5,1.32
11,0.07,371.47,3.7645,integer optimal solution,1622.77,136.32,369.36,13,0.0311,0.0097,,,,,,,,,50.5,1.32
11,0.10,359.49,3.7478,integer optimal solution,2953.95,381.99,352.75,24,0.0171,0.0035,,,,,,,,,50.5,1.32
11,0.12,351.50,3.7406,integer optimal solution,3958.81,601.21,340.85,31,0.0128,0.0022,,,,,,,,,50.5,1.32
11,0.15,339.52,3.7724,No solution,,,,,,,,,,,,,,,50.5,1.32
12,0.02,413.53,2.9206,No solution,,,,,,,,274.7916667,282.0802415,332.109375,177.6944159,50.87,1.3,,50.87,1.3
13,0.02,397.72,3.6394,integer optimal solution,975.19,52.82,387.65,7,0.0522,0.0246,,275.81875,280.8769457,330.071875,174.98343,50.88,1.3,,50.88,1.3
13,0.05,385.55,3.6696,integer optimal solution,1388.64,104.45,382.78,11,0.0366,0.0124,,,,,,,,,50.88,1.3
13,0.07,377.43,3.7071,integer optimal solution,1532.98,120.01,371.54,12,0.0332,0.0108,,,,,,,,,50.88,1.3
13,0.10,365.26,3.7327,integer optimal solution,2810.77,355.76,363.23,23,0.0181,0.0037,,,,,,,,,50.88,1.3
13,0.12,357.14,3.7508,integer optimal solution,2953.95,381.99,352.75,24,0.0172,0.0034,,,,,,,,,50.88,1.3
13,0.15,344.96,3.7025,integer optimal solution,3958.81,601.21,340.85,31,0.0129,0.0022,,,,,,,,,50.88,1.3
13,0.17,336.85,3.6726,No solution,,,,,,,,,,,,,,,50.88,1.3
14,0.02,409.98,3.7461,integer optimal solution,88.92,9.51,339.49,1,0.5722,0.1346,,274.628125,278.3332942,331.5583333,176.420617,50.88,1.28,,50.88,1.28
14,0.05,397.43,3.8852,integer optimal solution,88.92,9.51,339.49,1,0.5722,0.1346,,,,,,,,,50.88,1.28
14,0.07,389.07,3.7847,integer optimal solution,88.92,9.51,339.49,1,0.5722,0.1346,,,,,,,,,50.88,1.28
