time_less_than,b_ANTICIPATE,b_CONTINGENCY,y_ANTICIPATE_memAvg(MB),y_ANTICIPATE_time(sec),y_ANTICIPATE_sol(keuro),y_CONTINGENCY_memAvg(MB),y_CONTINGENCY_time(sec),y_CONTINGENCY_sol(keuro),y_nTraces,y_nScenarios,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables,ANTICIPATE_n_cores,CONTINGENCY_n_cores,y_ANTICIPATE_par_time,y_CONTINGENCY_par_time
no,0,1.0,333.927012987013,206.3350649350649,263.34666666666664,88.9446753246753,65.04909090909092,300.105,100.0,100.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,28422.463067770004,1.2471964359283447,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,0,1.0,333.927012987013,206.3350649350649,275.4928125,88.3555681818182,59.470681818181816,370.25714285714287,90.0,100.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,28422.463067770004,1.2158961296081543,16413,1814,1.0,1.0,206.3350649350649,59.470681818181816
no,0,1.0,333.927012987013,206.3350649350649,275.4928125,88.3555681818182,59.470681818181816,311.16,90.0,100.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,28422.463067770004,1.214277982711792,16413,1814,1.0,1.0,206.3350649350649,59.470681818181816
no,0,1.0,333.927012987013,206.3350649350649,284.53090909090906,88.3555681818182,59.470681818181816,316.03,90.0,100.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,28422.463067770004,1.243281602859497,16413,1814,1.0,1.0,206.3350649350649,59.470681818181816
no,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.37602245646727,28422.463067770004,0.4075839519500732,16413,1814,no_sol,no_sol,no_sol,no_sol
no,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,28422.463067770004,0.0130026340484619,16413,1814,no_sol,no_sol,no_sol,no_sol
no,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,28422.463067770004,0.013002872467041,16413,1814,no_sol,no_sol,no_sol,no_sol
no,0,1.0,333.927012987013,206.3350649350649,263.34666666666664,88.3555681818182,59.470681818181816,312.67,90.0,100.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,28422.463067770004,1.6228139400482178,16413,1814,1.0,1.0,206.3350649350649,59.470681818181816
no,0,1.0,333.927012987013,206.3350649350649,259.695,88.9446753246753,65.04909090909092,318.55611111111114,100.0,100.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,28422.463067770004,1.2827062606811523,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,0,1.0,333.927012987013,206.3350649350649,272.19,88.9446753246753,65.04909090909092,318.55611111111114,100.0,100.0,266.50625,273.8953361583049,315.028125,164.58755882959193,28422.463067770004,1.1940038204193115,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,28422.463067770004,0.8331172466278076,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,262.66770833333334,270.722787757911,310.025,159.83073859555302,28422.463067770004,0.0130021572113037,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,263.81875,271.127500108536,311.83958333333334,162.92226832601202,28422.463067770004,0.0120017528533935,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,28422.463067770004,0.0120019912719726,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,28422.463067770004,0.0120022296905517,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,28422.463067770004,0.0130031108856201,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,28422.463067770004,0.0120036602020263,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,28422.463067770004,0.0130035877227783,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,28422.463067770004,0.0119950771331787,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,28422.463067770004,0.0120022296905517,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,28422.463067770004,0.012002944946289,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,28422.463067770004,0.0130040645599365,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,28422.463067770004,0.0120034217834472,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,28422.463067770004,0.012002944946289,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,28422.463067770004,0.0119960308074951,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,28422.463067770004,0.0130023956298828,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,28422.463067770004,0.012002944946289,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,28422.463067770004,0.0130021572113037,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,28422.463067770004,0.0120027065277099,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,28422.463067770004,0.0130050182342529,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,28422.463067770004,0.0120027065277099,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,28422.463067770004,0.0130021572113037,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,28422.463067770004,0.0120031833648681,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,28422.463067770004,0.0120022296905517,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.37602245646727,28422.463067770004,0.0130038261413574,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,28422.463067770004,0.0121164321899414,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,28422.463067770004,0.0120034217834472,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,28422.463067770004,0.0130035877227783,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,28422.463067770004,0.0120027065277099,16417,1814,no_sol,no_sol,no_sol,no_sol
1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,266.50625,273.8953361583049,315.028125,164.58755882959193,28422.463067770004,0.013002872467041,16417,1814,no_sol,no_sol,no_sol,no_sol
2,0,1.0,60.11750000000001,1.9087499999999409,364.16,83.16175675675676,7.583378378378379,334.5249999999999,4.0,1.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,28422.463067770004,1.7168958187103271,16417,1814,1.0,32.0,1.9087499999999409,1.9544789634995825
2,0,1.0,60.11750000000001,1.9087499999999409,360.44,83.16175675675676,7.583378378378379,347.0135185185188,4.0,1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,28422.463067770004,1.1962742805480957,16417,1814,1.0,32.0,1.9087499999999409,1.9544789634995825
2,0,1.0,60.11750000000001,1.9087499999999409,369.57,82.84300000000007,5.748874999999984,350.96909090909094,1.0,1.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,28422.463067770004,1.1933724880218506,16417,1814,1.0,16.0,1.9087499999999409,1.854475806451608
