time_less_than,mem_less_than,b_ANTICIPATE,b_CONTINGENCY,y_ANTICIPATE_memAvg(MB),y_ANTICIPATE_time(sec),y_ANTICIPATE_sol(keuro),y_CONTINGENCY_memAvg(MB),y_CONTINGENCY_time(sec),y_CONTINGENCY_sol(keuro),y_nTraces,y_nScenarios,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables
no,0.2,0,1.0,333.927012987013,206.3350649350649,259.94999999999993,86.00180722891571,36.17566265060241,321.36,51.0,100.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,22351.325761318207,145.07312393188477,111286,8541
no,0.2,0,1.0,171.55253012048195,59.75662650602411,320.22,84.17166666666668,13.078076923076924,293.06,13.0,33.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,22351.325761318207,144.5543704032898,111286,8541
no,0.2,0,1.0,176.83457831325302,64.82771084337348,327.48,84.17166666666668,13.078076923076924,304.6833333333332,13.0,35.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,22351.325761318207,135.48807454109192,111286,8541
no,0.2,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,22351.325761318207,125.56058645248412,111286,8541
no,0.2,0,1.0,179.166,83.03499999999998,331.95,83.95182926829261,11.849756097560972,323.725,11.0,37.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,22351.325761318207,68.5275251865387,111286,8541
no,0.2,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,22351.325761318207,125.42702412605286,111286,8541
no,0.2,0,1.0,174.65716049382715,62.30987654320988,326.1,88.3555681818182,59.470681818181816,306.46,90.0,34.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,22351.325761318207,70.59670925140381,111286,8541
no,0.2,0,1.0,174.65716049382715,62.30987654320988,322.33,84.17166666666668,13.078076923076924,313.77,13.0,34.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,22351.325761318207,137.99040627479553,111286,8541
no,0.2,0,1.0,179.6154761904762,73.50357142857139,329.84,84.17166666666668,13.078076923076924,306.21352941176474,13.0,36.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,22351.325761318207,138.04061317443848,111286,8541
no,0.2,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,22351.325761318207,126.80481505393982,111286,8541
no,0.2,0,1.0,179.6154761904762,73.50357142857139,332.93,88.3555681818182,59.470681818181816,311.16,90.0,36.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,22351.325761318207,69.0752420425415,111286,8541
no,0.2,0,1.0,183.23629629629636,85.02222222222224,340.58,82.93710526315787,6.398684210526315,337.81,2.0,38.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,22351.325761318207,129.1056308746338,111286,8541
no,0.2,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.37602245646727,22351.325761318207,91.1076157093048,111286,8541
no,0.2,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,22351.325761318207,62.78612399101257,111286,8541
no,0.2,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,22351.325761318207,61.61368274688721,111286,8541
no,0.2,0,1.0,333.927012987013,206.3350649350649,263.86,88.3555681818182,59.470681818181816,312.67,90.0,100.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,22351.325761318207,71.48861813545227,111286,8541
no,0.2,0,1.0,333.927012987013,206.3350649350649,260.07,84.17166666666668,13.078076923076924,315.49,13.0,100.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,22351.325761318207,136.31728768348694,111286,8541
no,0.2,0,1.0,179.6154761904762,73.50357142857139,330.64,84.17166666666668,13.078076923076924,306.21352941176474,13.0,36.0,266.50625,273.8953361583049,315.028125,164.58755882959193,22351.325761318207,137.10867047309875,111286,8541
